Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2024-12-05T02:44:37+03:00,2024-11-28T05:00:16+03:00,7084,Present,8729,"-37.80220387416213, 144.9609413122746"
2024-12-05T02:44:37+03:00,2024-11-28T05:30:57+03:00,7084,Present,8735,"-37.80223335664963, 144.96120480793184"
2024-12-05T02:44:37+03:00,2024-11-28T05:06:51+03:00,7084,Unoccupied,8741,"-37.8022649761665, 144.96149743252016"
2024-12-05T02:44:37+03:00,2024-11-27T09:31:45+03:00,7084,Unoccupied,8747,"-37.80229720947396, 144.96179210870582"
2024-12-05T02:44:37+03:00,2024-11-28T02:23:40+03:00,7084,Unoccupied,8749,"-37.80230361629087, 144.9618505999636"
2024-12-05T02:44:37+03:00,2024-11-28T06:15:03+03:00,7084,Unoccupied,8728,"-37.802207077793355, 144.9609705575371"
2024-12-05T02:44:37+03:00,2024-11-28T05:32:55+03:00,7084,Unoccupied,8730,"-37.802223746396926, 144.96111707151726"
2024-12-05T02:44:37+03:00,2024-11-28T06:17:09+03:00,7084,Unoccupied,8732,"-37.80221028139775, 144.96099980337007"
2024-12-05T02:44:37+03:00,2024-11-28T05:57:41+03:00,7084,Present,8738,"-37.80224848587544, 144.961350677226"
2024-12-05T02:44:37+03:00,2024-11-28T01:25:48+03:00,7084,Unoccupied,8742,"-37.80226817919086, 144.96152667783582"
2024-12-05T02:44:37+03:00,2024-11-28T05:31:41+03:00,7084,Unoccupied,8744,"-37.802280763677544, 144.9616436342106"
2024-12-05T02:44:37+03:00,2024-11-27T20:25:40+03:00,7084,Unoccupied,8745,"-37.80228396713595, 144.96167287954006"
2024-12-05T02:44:37+03:00,2024-10-19T14:10:53+03:00,7084,Unoccupied,8746,"-37.802294006064535, 144.9617628633649"
2024-12-05T02:44:37+03:00,2024-11-28T05:22:55+03:00,7084,Present,8752,"-37.80225168938629, 144.9613799225275"
2024-12-05T02:44:37+03:00,2024-11-28T05:50:49+03:00,7084,Present,8754,"-37.802216688584906, 144.9610582939215"
2024-12-05T02:44:37+03:00,2024-11-28T06:03:02+03:00,7084,Present,8731,"-37.80221348499492, 144.96102904863818"
2024-12-05T02:44:37+03:00,2024-11-28T05:31:34+03:00,7084,Present,8733,"-37.80222694998491, 144.9611463167968"
2024-12-05T02:44:37+03:00,2024-11-28T04:08:40+03:00,7084,Present,8734,"-37.80223015354606, 144.96117556264676"
2024-12-05T02:44:37+03:00,2024-11-28T05:53:41+03:00,7084,Unoccupied,8736,"-37.802242080448615, 144.96129218606376"
2024-12-05T02:44:37+03:00,2024-11-28T05:57:26+03:00,7084,Unoccupied,8737,"-37.802245282357404, 144.9613214313597"
2024-12-05T02:44:37+03:00,2024-11-27T13:09:44+03:00,7084,Unoccupied,8739,"-37.80225856919544, 144.9614389418973"
2024-12-05T02:44:37+03:00,2024-11-27T11:40:20+03:00,7084,Unoccupied,8740,"-37.80226177268457, 144.96146818720734"
2024-12-05T02:44:37+03:00,2024-10-19T16:31:32+03:00,7084,Unoccupied,8748,"-37.80230041287619, 144.96182135461714"
2024-12-05T02:44:37+03:00,2024-10-19T16:31:48+03:00,7084,Unoccupied,8751,"-37.80228717056752, 144.96170212543996"
2024-12-05T02:44:37+03:00,2024-11-28T05:40:31+03:00,7084,Unoccupied,8753,"-37.80223656015707, 144.9612340509617"
2024-12-05T02:44:37+03:00,2024-11-28T04:15:59+03:00,7084,Unoccupied,8743,"-37.802277599315886, 144.96161438831626"
2024-12-05T02:44:37+03:00,2024-11-28T06:14:47+03:00,7084,Present,8750,"-37.802271382658404, 144.96155592654753"
2024-12-09T03:44:36+03:00,2024-12-09T02:52:06+03:00,,Unoccupied,50662,"-37.80913844013256, 144.97189445783573"
2024-12-09T03:44:36+03:00,2024-12-09T01:40:32+03:00,7649,Present,50663,"-37.80908828360667, 144.97187134487461"
